date,high,low
2020-10-26 09:59:00+00:00,11942.85,11711.7
2020-10-27 09:59:00+00:00,11899.05,11723
2020-10-28 09:59:00+00:00,11929.4,11684.85
2020-10-29 09:59:00+00:00,11744.15,11606.45
2020-10-30 09:59:00+00:00,11748.95,11535.45
2020-11-02 09:59:00+00:00,11725.65,11557.4
2020-11-03 09:59:00+00:00,11836.2,11729.85
2020-11-04 09:59:00+00:00,11929.65,11756.4
2020-11-05 09:59:00+00:00,12131.1,12027.6
2020-11-06 09:59:00+00:00,12280.4,12137.35
2020-11-09 09:59:00+00:00,12474.05,12367.35
2020-11-10 09:59:00+00:00,12642.65,12475.25
2020-11-11 09:59:00+00:00,12769.75,12571.1
2020-11-12 09:59:00+00:00,12741.15,12624.85
2020-11-13 09:59:00+00:00,12735.95,12607.7
2020-11-14 13:48:00+00:00,12828.7,12749.45
2020-11-17 09:59:00+00:00,12881.8,12797.1
2020-11-18 09:59:00+00:00,12948.85,12819.35
2020-11-19 09:59:00+00:00,12963,12745.75
2020-11-20 09:59:00+00:00,12892.45,12730.25
2020-11-23 09:59:00+00:00,12968.85,12825.7
2020-11-24 09:59:00+00:00,13079.1,12991.65
2020-11-25 09:59:00+00:00,13143.9,12833.65
2020-11-26 09:59:00+00:00,13018,12790.4
2020-11-27 09:59:00+00:00,13030.65,12914.3
2020-12-01 09:59:00+00:00,13128.4,12962.8
2020-12-02 09:59:00+00:00,13128.5,12983.55
2020-12-03 09:59:00+00:00,13184.1,13107.9
2020-12-04 09:59:00+00:00,13280.05,13152.85
2020-12-07 09:59:00+00:00,13366.65,13253.05
2020-12-08 09:59:00+00:00,13435.45,13311.05
2020-12-09 09:59:00+00:00,13548.9,13456.5
2020-12-10 09:59:00+00:00,13503.55,13399.3
2020-12-11 09:59:00+00:00,13579.35,13402.85
2020-12-14 09:59:00+00:00,13597.5,13472.45
2020-12-15 09:59:00+00:00,13589.65,13447.05
2020-12-16 09:59:00+00:00,13692.35,13606.45
2020-12-17 09:59:00+00:00,13773.25,13678.65
2020-12-18 09:59:00+00:00,13772.85,13658.6
2020-12-21 09:59:00+00:00,13777.5,13131.45
2020-12-22 09:59:00+00:00,13492.05,13192.9
2020-12-23 09:59:00+00:00,13619.45,13432.2
2020-12-24 09:59:00+00:00,13771.75,13626.9
2020-12-28 09:59:00+00:00,13885.3,13811.55
2020-12-29 09:59:00+00:00,13967.6,13859.9
2020-12-30 09:59:00+00:00,13997,13864.95
2020-12-31 09:59:00+00:00,14024.85,13947.5
2021-01-01 09:59:00+00:00,14049.85,14001.15
2021-01-04 09:59:00+00:00,14147.95,13953.75
2021-01-05 09:59:00+00:00,14215.6,14049.05
2021-01-06 09:59:00+00:00,14239.3,14039.9
2021-01-07 09:59:00+00:00,14237,14123.1
2021-01-08 09:59:00+00:00,14367.3,14221.65
2021-01-11 09:59:00+00:00,14498.2,14383.1
2021-01-12 09:59:00+00:00,14590.65,14450.6
2021-01-13 09:59:00+00:00,14653.35,14435.7
2021-01-14 09:59:00+00:00,14617.8,14471.5
2021-01-15 09:59:00+00:00,14617.45,14357.85
